iter	Passed	Remaining
981	15074	276
982	15088	260
983	15100	245
984	15114	230
985	15127	214
986	15139	199
987	15151	184
988	15164	168
989	15177	153
990	15189	137
991	15201	122
992	15214	107
993	15230	91
994	15242	76
995	15257	61
996	15270	45
997	15283	30
998	15298	15
999	15313	0
